Designator,Mid X,Mid Y,Rotation,Layer
C1,84.338818,-55.9,180.0,top
C10,98.175,-59.4,0.0,top
C11,87.8,-109.4,270.0,top
C13,90.2,-109.4,270.0,top
C14,101.6,-60.8,180.0,top
C15,67.4,-75.92,90.0,top
C16,69.6,-75.92,90.0,top
C17,84.0,-85.0,270.0,top
C18,94.8,-84.4,270.0,top
C19,93.8,-89.6,0.0,top
C2,93.1,-55.375,90.0,top
C20,105.500001,-82.025,0.0,top
C3,98.338818,-65.8,0.0,top
C4,86.838818,-72.425,180.0,top
C5,80.6,-59.825,90.0,top
C6,98.338818,-62.1,0.0,top
C7,65.0,-81.0,180.0,top
C8,113.0,-81.0,180.0,top
D1,47.0,-67.0,225.0,top
D10,115.187501,-67.029999,180.0,top
D11,98.0,-78.4,180.0,top
D12,98.112501,-82.025,0.0,top
D13,104.587501,-96.632979,180.0,top
D15,95.199999,-95.8,180.0,top
D2,68.0,-52.5,180.0,top
D3,110.0,-52.45,180.0,top
D4,131.3,-67.15,135.0,top
D5,136.6,-79.25,90.0,top
D6,115.187501,-74.8,180.0,top
D7,41.4,-79.25,270.0,top
D8,115.187502,-72.21,180.0,top
D9,115.187501,-69.62,180.0,top
DRA1,50.0,-106.0,90.0,top
DRA2,128.0,-106.0,270.0,top
F1,90.5,-92.7,0.0,top
J1,65.0,-95.0,0.0,top
J2,113.0,-95.0,0.0,top
J3,103.805,-74.85,90.0,top
J4,82.5,-95.3,0.0,top
J5,76.8,-79.5,0.0,top
Q1,51.453382,-71.340999,315.0,top
Q10,130.95,-74.5475,90.0,top
Q11,87.01,-77.7,0.0,top
Q12,47.6625,-79.1475,0.0,top
Q13,47.05,-74.5475,270.0,top
Q2,54.25,-67.65,225.0,top
Q3,68.0,-58.75,270.0,top
Q4,73.0,-58.05,180.0,top
Q5,110.0,-58.7,270.0,top
Q6,105.0,-58.0,180.0,top
Q7,125.2,-70.0,225.0,top
Q8,124.05,-67.8,135.0,top
Q9,130.3375,-77.2,180.0,top
R1,54.379036,-73.418125,45.0,top
R10,106.4,-57.8,270.0,top
R11,123.4,-72.8,315.0,top
R12,130.216637,-70.183363,225.0,top
R13,123.0,-67.0,225.0,top
R14,126.4,-77.8,270.0,top
R15,133.775,-80.6,180.0,top
R16,47.0,-75.8975,0.0,top
R17,71.25,-88.2,270.0,top
R18,115.0,-85.4,180.0,top
R19,130.8,-73.2,180.0,top
R2,49.818198,-67.938048,315.0,top
R20,51.2,-78.5475,90.0,top
R21,44.1,-77.8975,0.0,top
R24,111.102501,-67.02,0.0,top
R25,110.977501,-74.82,0.0,top
R26,110.977501,-72.22,0.0,top
R27,111.002501,-69.62,0.0,top
R28,59.775001,-65.900001,0.0,top
R29,59.675,-71.2,0.0,top
R3,53.283021,-68.574443,315.0,top
R30,99.9,-92.7,0.0,top
R31,96.5,-92.7,0.0,top
R32,94.8,-81.2,270.0,top
R33,101.800001,-82.025,0.0,top
R34,101.212501,-96.632979,180.0,top
R36,92.9,-78.7,0.0,top
R37,90.6,-78.7,180.0,top
R4,69.0,-62.25,0.0,top
R5,69.5,-55.25,270.0,top
R6,72.0,-58.25,270.0,top
R7,107.449999,-62.0,180.0,top
R8,111.4,-55.2,270.0,top
R9,98.2,-57.8,0.0,top
SW1,82.6,-89.7,180.0,top
SW2,66.599999,-65.9,0.0,top
SW3,66.599999,-71.2,0.0,top
U1,96.056854,-70.418034,225.0,top
U2,113.0,-89.0,180.0,top
U3,65.0,-89.0,180.0,top
U5,89.0,-106.0,0.0,top
U6,89.3,-76.4375,0.0,top
U7,102.465,-86.725,0.0,top
Y1,101.5,-58.75,180.0,top
